id|year|parl_code|state_code|name|party_code|votes
2323|2013|P14|N26|AHMAD FAKHRUDDIN BIN FAKHRURAZI|PAS|14038
2324|2013|P14|N26|TAJUL URUS BIN MAT ZAIN|UMNO|17818
2325|2013|P15|N27|ALI BIN YAHAYA|UMNO|15393
2326|2013|P15|N27|HJ ABDULLAH BIN JUSOH|PAS|13686
2327|2013|P15|N27|MOHD YUSUF BIN LAZIM|IND|316
2328|2013|P15|N28|LEE YEAN WANG|MCA|11223
2329|2013|P15|N28|ONG KAH SOON|IND|204
2330|2013|P15|N28|OOI TZE MIN|PKR|17757
2331|2013|P15|N29|BEE SIEONG HENG|GERAKAN|7225
2332|2013|P15|N29|OOI BENG KOOI|IND|268
2333|2013|P15|N29|ROBERT LING KUI EE|PKR|13189
2334|2013|P15|N29|TAN HOCK HUAT|IND|197
2335|2013|P15|N29|UH CHORNG VON|KITA|42
2336|2013|P15|N29|ZAMIL BIN IBRAHIM|IND|347
2337|2013|P16|N30|AZMI BIN CHE HUSAIN|UMNO|17240
2338|2013|P16|N30|MAHMUD BIN YAAKOB|PAS|13108
2339|2013|P16|N31|HARUN BIN ABDUL AZIZ|UMNO|14407
2340|2013|P16|N31|JOHARI BIN ABDULLAH|PAS|12523
2341|2013|P16|N32|KRISHNAN A/L GANAPATHY|KITA|105
2342|2013|P16|N32|MD.ZUKI BIN YUSOF|PAS|12769
2343|2013|P16|N32|MOHD KHAIRUL AZHAR BIN ABDULLAH|UMNO|11615
2344|2013|P17|N33|MARLIA BINTI ABD LATIFF|UMNO|14072
2345|2013|P17|N33|SITI ASHAH BINTI GHAZALI|PAS|14705
2346|2013|P17|N34|ANANTHAN A/L SOMASUNDARAM|MIC|12586
2347|2013|P17|N34|AZMAN BIN NASRUDIN|PKR|21670
2348|2013|P17|N34|PREBAKARRAN A/L NARAYANAN NAIR|KITA|71
2349|2013|P17|N34|VASANTHI A/P RAMALINGAM|IND|406
2350|2013|P18|N35|CHU MAW NIAN|PKR|13741
2351|2013|P18|N35|CHUA THIONG GEE|MCA|14384
2352|2013|P18|N35|MOHD JUNIP BIN HUZAYIN|BERJASA|898
2353|2013|P18|N36|MOHD KHARI BIN MOHD SALLEH|PAS|10292
2354|2013|P18|N36|NORSABRINA BINTI MOHD NOOR|UMNO|12361
2355|2013|P19|N1|IZAT BUKHARY BIN ISMAIL BUKHARY|IND|65
2356|2013|P19|N1|NOOR ZAHIDI BIN OMAR|UMNO|10174
2357|2013|P19|N1|SAHARUN BIN IBRAHIM|PKR|8438
2358|2013|P19|N2|MOHAMAD ZAKI BIN IBRAHIM|PAS|10098
2359|2013|P19|N2|WAN HANAPI BIN WAN YAACOB|UMNO|7995
2360|2013|P19|N3|AHMAD BIN YAKOB|PAS|14204
2361|2013|P19|N3|NIK NORIZA BINTI NIK SALLEH|UMNO|8560
2362|2013|P19|N4|CHE ABDULLAH BIN MAT NAWI|PAS|11515
2363|2013|P19|N4|MOHD ROSDI BIN AB. AZIZ|UMNO|10537
2364|2013|P20|N5|WAN UBAIDAH BINTI OMAR|PAS|10632
2365|2013|P20|N5|ZALUZI BIN SULAIMAN|UMNO|5489
2366|2013|P20|N6|DATO' HAJI NIK ABDUL AZIZ BIN NIK MAT|PAS|12310
2367|2013|P20|N6|WAN RAZMAN BIN W. ABD RAZAK|UMNO|5810
2368|2013|P20|N7|CHE ROSLI BIN HASSAN|UMNO|7431
2369|2013|P20|N7|MOHD AMAR BIN ABDULLAH|PAS|12467
2370|2013|P21|N8|KANIDY BIN OMAR|UMNO|6866
2371|2013|P21|N8|ROHANI BINTI IBRAHIM|PAS|15387
2372|2013|P21|N9|MOHD ZAKIMAN BIN ABU BAKAR|IND|152
2373|2013|P21|N9|TAN KEN TEN|MCA|7651
2374|2013|P21|N9|TAN TENG LOON @ ANUAR TAN B. ABDULLAH|PAS|14269
2375|2013|P21|N10|MOHD. FAKHRURAZI BIN ABDUL RAHIM|UMNO|7655
2376|2013|P21|N10|RAMLI BIN MAMAT|PAS|13447
2377|2013|P22|N11|DATUK HANAFI BIN MAMAT|UMNO|8419
2378|2013|P22|N11|ROZI BIN MUHAMAD|PAS|9397
2379|2013|P22|N12|HANIFA BIN AHMAD|PAS|13398
2380|2013|P22|N12|TUAN ANUWA BIN TUAN MAT|UMNO|8683
2381|2013|P22|N13|ABDUL HALIM BIN ABDUL RAHMAN|PAS|10578
2382|2013|P22|N13|AIMI BIN JUSOH|UMNO|8593
2383|2013|P23|N14|MOHD AFANDI BIN YUSOFF|UMNO|4589
2384|2013|P23|N14|MOHD NASSURUDDIN BIN HAJI DAUD|PAS|8522
2385|2013|P23|N15|MOHAMAD BIN AWANG|PAS|8224
2386|2013|P23|N15|SHAARI BIN MAT HUSSAIN|UMNO|7609
2387|2013|P23|N16|ABDUL RASUL BIN MOHAMED|PAS|6569
2388|2013|P23|N16|MOHD ZAIN BIN ISMAIL|UMNO|5690
2389|2013|P24|N17|HUSAM BIN MUSA|PAS|10231
2390|2013|P24|N17|MOHD NOORDIN BIN AWANG|UMNO|6548
2391|2013|P24|N18|ABD RAHMAN BIN YUNUS|PAS|9972
2392|2013|P24|N18|MOHD SYAMSUL BIN MOHD YUSOFF|UMNO|5471
2393|2013|P24|N19|MUMTAZ BINTI MD NAWI|PAS|15302
2394|2013|P24|N19|WAN MOHD NAZI BIN WAN HAMAT|UMNO|6721
2395|2013|P25|N20|HASSAN BIN MOHAMOOD|PAS|13563
2396|2013|P25|N20|MOHD ZAIN BIN YASIM|UMNO|10451
2397|2013|P25|N21|MOHD HUZAIMY BIN CHE HUSIN|PAS|12370
2398|2013|P25|N21|MUHAMMAD ZAIDI BIN SIDEK|UMNO|10882
2399|2013|P25|N22|ABDUL AZZIZ BIN KADIR|PAS|11722
2400|2013|P25|N22|ILIAS BIN HUSAIN|UMNO|11620
2401|2013|P26|N23|MD. YUSNAN BIN YUSOF|PAS|10590
2402|2013|P26|N23|MOHAMED OTHMAN BIN OMAR|UMNO|8101
2403|2013|P26|N24|AZAMI BIN HJ. MOHD NOR|PAS|8753
2404|2013|P26|N24|MOHAMAD BASRI BIN AWANG|UMNO|5656
2405|2013|P26|N25|MD. ALWI BIN CHE AHMAD|UMNO|10040
2406|2013|P26|N25|NIK MAHADI BIN MAHMOOD|PAS|9871
2407|2013|P27|N26|ABDUL FATTAH BIN HAJI MAHMOOD|PAS|13292
2408|2013|P27|N26|BAHARUDIN BIN YUSOF|UMNO|9552
2409|2013|P27|N27|BAKRI @ MOHD BAKRI BIN MUSTAPHA|UMNO|7689
2410|2013|P27|N27|WAN YUSOFF BIN W MUSTAFA|PAS|6285
2411|2013|P27|N28|DYG SANIAH BINTI AWG HAMID|UMNO|5517
2412|2013|P27|N28|MD ANIZAM BIN AB RAHMAN|PAS|6953
2413|2013|P28|N29|ZULKIFLE BIN ALI|UMNO|7662
2414|2013|P28|N29|IBRAHIM BIN ISMAIL|IND|120
2415|2013|P28|N29|SAIPUL BAHRIM BIN MOHAMAD|PAS|7555
2416|2013|P28|N30|MOHD NAZLAN BIN MOHAMED HASBULLAH|PAS|10480
2417|2013|P28|N30|MOHD RUJHAN BIN SALLEH|UMNO|9438
2418|2013|P28|N31|ZAWAWI BIN OTHMAN|UMNO|8444
2419|2013|P28|N31|W HASSAN BIN W IBRAHIM|PAS|7459
2420|2013|P28|N32|REDZUAN BIN STAPHA|UMNO|6876
2421|2013|P28|N32|TUAN MAZLAN BIN TUAN MAT|PAS|7178
2422|2013|P29|N33|HALIM @ AB HALIM BIN ISMAIL|UMNO|7627
2423|2013|P29|N33|ZULKIFLI BIN MAMAT|PAS|8546
2424|2013|P29|N34|AZEMI BIN MAT ZIN|UMNO|7173
2425|2013|P29|N34|MOHAMED FADZLI BIN HASSAN|PAS|8258
2426|2013|P29|N35|ERIANDI BIN ISMAIL|UMNO|9015
2427|2013|P29|N35|MOHD ROSELI BIN ISMAIL|PAS|10049
2428|2013|P30|N36|MOHD ADHAN BIN KECHIK|UMNO|7692
2429|2013|P30|N36|SUFELY BIN ABD RAZAK|PAS|6159
2430|2013|P30|N37|MUSTAPA BIN MOHAMED|UMNO|6605
2431|2013|P30|N37|ABDULLAH BIN YA'KUB|PAS|6558
2432|2013|P30|N38|ABDUL AZIZ BIN DERASHID|UMNO|6173
2433|2013|P30|N38|RAMLAN BIN MAT|PKR|4097
2434|2013|P31|N39|ABDUL LATIFF BIN ABDUL RAHMAN|PAS|8235
2435|2013|P31|N39|AZIZZUDDIN BIN HUSSEIN|UMNO|7163
2436|2013|P31|N40|MOHD ROSLAN BIN PUTEH|PKR|7803
2437|2013|P31|N40|MUHAMAD BUSTAMAN BIN YAACOB|IND|146
2438|2013|P31|N40|MD NASIR BIN AHMAD|IND|37
2439|2013|P31|N40|HAJI NIK SAPEIA BIN NIK YUSOF|UMNO|7311
2440|2013|P31|N41|CHE JALAL BIN MUDA|UMNO|6169
2441|2013|P31|N41|MOHD FAUZI BIN ABDULLAH|PAS|7802
2442|2013|P31|N42|RAMZI BIN AB RAHMAN|UMNO|4612
2443|2013|P31|N42|KU MOHD ZAKI BIN KU HUSSIN|PAS|4383
2444|2013|P32|N43|ABDUL AZIZ BIN MOHAMED|IND|368
2445|2013|P32|N43|MAT YUSOFF BIN ABDUL GHANI|UMNO|6654
2446|2013|P32|N43|MOHAMMAD AZIHAN BIN CHE SEMAN|PKR|2805
2447|2013|P32|N44|AMRAN BIN AB GHANI|PKR|3910
2448|2013|P32|N44|NOZULA BIN MAT DIAH|UMNO|7847
2449|2013|P32|N45|AB AZIZ BIN YUSOFF|UMNO|6956
2450|2013|P32|N45|ABDULLAH BIN HUSSEIN|PAS|5655
2451|2013|P33|N1|A. RAHMAN BIN MOKHTAR|UMNO|8809
2452|2013|P33|N1|NAPISAH BINTI ISMAIL|PAS|6375
2453|2013|P33|N2|ADAM BIN MAT SAID|PAS|7672
2454|2013|P33|N2|MOHAMED ABDUL GHANI BIN HAJI IBRAHIM|PKR|60
2455|2013|P33|N2|MOHD MAHDI BIN MUSA|UMNO|9084
2456|2013|P33|N3|MUHAMMAD PEHIMI BIN YUSOF|UMNO|8396
2457|2013|P33|N3|WAN AZHAR BIN WAN AHMAD|PAS|7466
2458|2013|P33|N4|NAWI BIN MOHAMAD|UMNO|7884
2459|2013|P33|N4|SHALAHHUDIN BIN JAAFAR|PAS|6314
2460|2013|P34|N5|AZMAN BIN IBRAHIM|PAS|6953
2461|2013|P34|N5|MOHD ISKANDAR BIN JAAFAR|UMNO|7735
2462|2013|P34|N6|MOHD JIDIN BIN SHAFEE|UMNO|9188
2463|2013|P34|N6|MOHD YUSOP BIN MAJID|IND|1920
2464|2013|P34|N6|WAN MOKHTAR BIN WAN IBRAHIM|PKR|6260
2465|2013|P34|N7|HASSAN BIN KARIM|PAS|5403
2466|2013|P34|N7|SABRI BIN MOHD NOOR|UMNO|8425
2467|2013|P34|N8|BAZLAN BIN ABD RAHMAN|UMNO|7008
2468|2013|P34|N8|CHE GHANI BIN CHE AMBAK|PAS|5373
2469|2013|P35|N9|HISHAMUDDIN BIN ABDUL KARIM|PAS|11128
2470|2013|P35|N9|MUHAMMAD RAMLI BIN HAJI NUH|UMNO|10899
2471|2013|P35|N10|ABDUL RAHIN BIN MOHD SAID|UMNO|8989
2472|2013|P35|N10|RIDZUAN BIN HASHIM|PAS|9098
2473|2013|P35|N11|AHMAD NAZRI BIN MOHD YUSOF|PKR|73
2474|2013|P35|N11|AHMAD RAZIF BIN ABD RAHMAN|UMNO|7731
2475|2013|P35|N11|ZAKARIA BIN DAGANG|PAS|6221
2476|2013|P35|N12|ALIAS BIN RAZAK|PAS|6801
2477|2013|P35|N12|ISMAIL BIN NIK|UMNO|6149
2478|2013|P36|N13|MOHD ABDUL WAHID BIN ENDUT|PAS|12427
2479|2013|P36|N13|WAN MAHYUDIN BIN W NGAH|UMNO|9617
2480|2013|P36|N14|AZAN BIN ISMAIL|PKR|9413
2481|2013|P36|N14|DATO' TOH CHIN YAW|MCA|7254
2482|2013|P36|N15|DATO' WAN AHMAD FARID BIN WAN SALLEH|UMNO|8142
2483|2013|P36|N15|TENGKU HASSAN BIN TENGKU OMAR|PAS|9066
2484|2013|P36|N16|DATO' HJ. CHE MAT BIN JUSOH|UMNO|11406
2485|2013|P36|N16|SYED AZMAN BIN SYED AHMAD NAWAWI|PAS|13679
2486|2013|P37|N17|ALIAS BIN ABDULLAH|UMNO|10199
