id,year,parl_code,state_code,won_party_code,won_remarks,total,total_electionday,spoilt,unreturned_ballot,race_malay,race_indian,race_chinese,race_others,race_iban,race_orgulu,race_bidayuh,race_malanau,race_muslimbumiputera,race_nonmuslimbumiputera,pooling_district,analysis
386,2004,P139,N25,UMNO,,9285,7027,167,5,56,16,28,1,0,0,0,0,0,0,"Kemendor, Kelubi, Seri Kesang, Ladang Diamond, Simpang Bekoh, Chohong, Bukit Katong, Simpang Kerayong, ",
387,2004,P139,N26,UMNO,,12600,10517,176,6,87,4,9,0,0,0,0,0,0,0,"Bukit Tembakau, Umbai, Serkam Darat, Pulai, Serkam Pantai, Tedong, Sempang, ",
388,2004,P139,N27,UMNO,,10026,7809,232,15,61,16,23,0,0,0,0,0,0,0,"Ayer Merbau, Chinchin, Jasin Lalang, Ladang Merlimau, Merlimau Pasir, Permatang Serai, Pengkalan Samak, ",
389,2004,P139,N28,UMNO,,8751,7205,181,2,79,3,18,0,0,0,0,0,0,0,"Seri Mendapat, Batu Gajah, Parit Putat, Parit Perawas, Sebatu, ",
390,2004,P140,N1,UMNO,,15440,10986,374,0,53,14,33,0,0,0,0,0,0,0,"Mensudot Lama, Balai Badang, Palong Timor, Sepang Loi, Mensudot Pindah, Awat, Pekan Gemas Bahru, Gomali, Tambang, Paya Lang, Ladang Sungai Muar, Kuala Paya, Bandar Buloh Kasap Utara, Bandar Buloh Kasap Selatan, Buloh Kasap, Gelang Chinchin, Sepinang, ",
391,2004,P140,N2,MCA,,25543,17993,370,0,34,10,56,0,0,0,0,0,0,0,"Gemas Baru, Fortrose, Sungai Senarut, Bandar Batu Anam, Batu Anam, Bandan, Welch, Paya Jakas, Bandar Jementah Barat, Bandar Jementah Timor, Bandar Jementah Tengah, Bandar Jementah Selatan, Jementah, Sungai Siput, Kampong Bukit Tunggal, Tebing Tinggi, Gemereh, Telok Kelubi, Berata, Jalan Kolam Air, Sungai Kapeh, Pasar, Bandar, Jalan Gemereh, Genuang, Genuang Selatan, Kampong Abdullah Utara, ",
392,2004,P141,N3,GERAKAN,,19015,14046,322,0,53,6,41,0,0,0,0,0,0,0,"Pemanis 1, Pemanis 2, Bumbun, Sulir, Pekan Jabi, Tahang Rimau, Jalan Buloh Kasap, Kampong Mengkudu, Kampong Tengah, Felda Medoi, Kampong Jawa, Gubah, Kampong Abdullah Selatan, ",
393,2004,P141,N4,UMNO,,14579,11031,260,0,55,6,39,0,0,0,0,0,0,0,"Segamat Baru, Ladang Segamat, Felda Kemelah, Redong, Sekijang, Chuan Moh San, Kampong Melayu Raya, Bukit Siput, Pekan Bukit Siput, Paya Pulai, Pogoh, Ladang Labis Bahru, ",
394,2004,P142,N5,UMNO,,14146,10183,379,11,49,12,38,1,0,0,0,0,0,0,"Kampong Redong, Pekan Ayer Panas, Ladang Labis Utara, Bandar Labis Timor, Bandar Labis Tengah, Labis, Felda Tenang, Sawah Bahru, Tenang Station, Ladang Bukit Dato, Chemplak Barat, Chemplak,",
395,2004,P142,N6,MCA,,18372,12891,306,14,24,18,57,1,0,0,0,0,0,0,"Bandar Labis Selatan, Bandar Labis Barat, Sungai Karas, Kampong Panchajaya, Kampong Kudong, Ladang Kempas, Kampong Bahru Bekok Barat, Kampong Bahru Bekok Tengah, Kampong Bahru Bekok Timor, Bandar Bekok, Ladang Getah Eldred Bekok, Johor Labis 'a', Chaah Barat, Bandar Chaah Utara, Bandar Chaah Tengah, Bandar Chaah Selatan, Kampong Jawa Chaah, Chaah Timor, Chan Wing, Ladang Gerchang, Desa Temu Jodoh,",
396,2004,P143,N7,UMNO,,19216,14253,340,13,66,3,30,1,0,0,0,0,0,0,"Kebun Bahru, Kampong Teratai, Sri Ledang, Felda Sri Jaya, Durian Chondong, Bandar Bukit Kepong, Felcra Paya Kepar, Ma'okil, Bukit Kepong, Lenga Utara, Kundang Ulu, Ladang Serampang, Parit Raja, Bandar Grisek Timor, Grisek, Kampong Kundang Ulu, Lenga Selatan, Kampong Bahru, Lenga, Kampong Gombang, Ladang Nordanal,",
