id,year,parl_code,name,party_code,votes
1059,2013,P48,ZAIRIL KHIR JOHARI,DAP,45591
1060,2013,P49,NG SONG KHENG,GERAKAN,6865
1061,2013,P49,NG WEI AIK,DAP,35510
1062,2013,P50,NG FOOK ON,GERAKAN,17461
1063,2013,P50,OOI CHUAN AUN,DAP,43211
1064,2013,P51,KARPAL SINGH A/L RAM SINGH,DAP,55839
1065,2013,P51,TEH BENG YEAM,MCA,14061
1066,2013,P52,TANG HEAP SENG,MCA,24251
1067,2013,P52,SIM TZE TZIN,PKR,43558
1068,2013,P53,HILMI BIN YAHAYA,UMNO,22318
1069,2013,P53,MUHAMMAD BAKHTIAR BIN WAN CHIK,PKR,20779
1070,2013,P54,HASBULLAH BIN OSMAN,UMNO,16415
1071,2013,P54,NORHAYATI BINTI KASIM,PAS,10199
1072,2013,P55,RAZMAN BIN ZAKARIA,PAS,9832
1073,2013,P55,SHAMSUL ANUAR BIN NASARAH,UMNO,13285
1074,2013,P56,RAVEENDRAN A/L M.VALLIKANA,IND,278
1075,2013,P56,MOHD FAUZI BIN SA'ARI,PAS,16888
1076,2013,P57,MUA'AMAR GHADAFI JAMAL BIN JAMALUDIN,UMNO,17539
1077,2013,P57,MUJAHID BIN YUSOF,PAS,26015
1078,2013,P56,HAMZAH BIN ZAINUDIN,UMNO,22184
1079,2013,P58,ABDUL LATIF BIN MASUD,IND,329
1080,2013,P58,MOHD NOR BIN HJ. R. M. MONUTTY,PKR,21874
1081,2013,P58,NOOR AZMI BIN GHAZALI,UMNO,23014
1082,2013,P59,ISMAIL BIN SAFFIAN,UMNO,29577
1083,2013,P59,IDRIS BIN AHMAD,PAS,30563
1084,2013,P60,TAN LIAN HOE,GERAKAN,25530
1085,2013,P60,NGA KOR MING,DAP,37275
1086,2013,P61,MEOR AHMAD ISHARRA BIN ISHAK,PKR,10775
1087,2013,P61,MOHAMED NAZRI BIN ABDUL AZIZ,UMNO,13005
1088,2013,P62,NAGALINGAM A/L SINGARAVELLOO,IND,197
1089,2013,P62,MICHAEL JEYAKUMAR DEVARAJ,PKR,21593
1090,2013,P62,DEVAMANY A/L S KRISHNASAMY,MIC,18800
1091,2013,P63,AHMAD HUSNI BIN MOHAMAD HANADZLAH,UMNO,42093
1092,2013,P63,SITI AISHAH BINTI SHAIK ISMAIL,PKR,32768
1093,2013,P64,KATHLEEN WONG MEI YIN,MCA,15086
1094,2013,P64,SU KEONG SIONG,DAP,49086
1095,2013,P65,KALWANT SINGH A/L SUJAN SINGH,IND,235
1096,2013,P65,M. KULASEGARAN A/L V. MURUGESON,DAP,45420
1097,2013,P65,CHENG WEI YEE,MCA,16382
1098,2013,P66,SIVAKUMAR A/L VARATHARAJU NAIDU,DAP,53900
1099,2013,P66,LOO THIN TUCK,MCA,15304
1100,2013,P67,KAMILIA BINTI IBRAHIM,IND,447
1101,2013,P67,KHALIL IDHAM LIM BIN ABDULLAH,PAS,13136
1102,2013,P67,WAN MOHAMMAD KHAIR-IL ANUAR BIN WAN AHMAD,UMNO,14218
1103,2013,P68,CHANG KO YOUN,GERAKAN,16882
1104,2013,P68,NGEH KOO HAM,DAP,21939
1105,2013,P69,MOHD ZAIM BIN ABU HASAN,UMNO,16253
1106,2013,P69,MUHAMMAD ISMI BIN MAT TAIB,PAS,11756
1107,2013,P70,LEE CHEE LEONG,MCA,21463
1108,2013,P70,KO CHUNG SEN,DAP,26863
1109,2013,P71,LEE BOON CHYE,PKR,47558
1110,2013,P71,TAN CHIN MENG,MCA,32249
1111,2013,P72,RIDZUAN BIN BANI,IND,337
1112,2013,P72,SHAHARUZZAMAN BIN BISTAMAM,BERJASA,2053
1113,2013,P72,VASANTHA KUMAR A/L KRISHNAN,PKR,12743
1114,2013,P72,SARAVANAN A/L MURUGAN,MIC,20670
1115,2013,P73,TAJUDDIN BIN ABDUL RAHMAN,UMNO,24875
1116,2013,P73,MUSTAFFA KAMIL BIN AYUB,PKR,17489
1117,2013,P74,KONG CHO HA,MCA,32140
1118,2013,P74,MOHAMAD IMRAN BIN ABD HAMID,PKR,40308
1119,2013,P75,MADHI BIN HASAN,PKR,15068
1120,2013,P75,AHMAD ZAHID BIN HAMIDI,UMNO,17176
1121,2013,P76,SEAH LEONG PENG,DAP,27399
1122,2013,P76,MAH SIEW KEONG,MCA,20086
1123,2013,P76,MORALINGAM A/L KANNAN,IND,279
1124,2013,P77,DATO' SERI ONG KA CHUAN,MCA,28225
1125,2013,P77,TAN YEE KEW,PKR,23897
1126,2013,P78,ALAGU A/L THANGARAJOO,IND,308
1127,2013,P78,KISHO KUMAR A/L KATHIRVELOO,IND,101
1128,2013,P78,MANOGARAN A/L MARIMUTHU,DAP,10044
1129,2013,P78,MOHD SHOKRI BIN MAHMOOD,BERJASA,912
1130,2013,P78,PALANIVEL A/L K. GOVINDASAMY,MIC,10506
1131,2013,P79,ABDUL RAHMAN BIN MOHAMAD,UMNO,14863
1132,2013,P79,AISHATON BINTI ABU BAKAR,IND,303
1133,2013,P79,MOHD MAHYUDDIN BIN GHAZAL @ RAZALI,PAS,11394
1134,2013,P80,HOH KHAI MUN,MCA,20601
1135,2013,P80,MOHD ARIFF SABRI BIN ABDUL AZIZ,DAP,23415
1136,2013,P81,AHMAD NAZLAN BIN IDRIS,UMNO,26544
1137,2013,P81,DR. HAMZAH BIN JAAFFAR,PAS,22012
1138,2013,P82,ADNAN BIN WAN MAMAT,UMNO,23061
1139,2013,P82,FAUZI BIN ABDUL RAHMAN,PKR,30584
1140,2013,P82,PONUSAMY A/L GOVINDASAMY,IND,193
1141,2013,P83,FUZIAH BINTI SALLEH,PKR,25834
1142,2013,P83,MOHAMED SUFFIAN BIN AWANG,UMNO,21319
1143,2013,P84,ABDUL MANAN BIN ISMAIL,UMNO,23747
1144,2013,P84,MURNIE HIDAYAH BINTI ANUAR,PKR,16032
1145,2013,P84,ZAHARI BIN MAMAT,IND,272
1146,2013,P85,MOHD NAJIB BIN HJ ABD RAZAK,UMNO,51278
1147,2013,P85,MOHD. FARIZ B. ABD. TALIB @ MUSA,PKR,15665
1148,2013,P86,ISMAIL BIN ABD. MUTTALIB,UMNO,19249
1149,2013,P86,MUJIBUR RAHMAN BIN ISHAK,PAS,12774
1150,2013,P87,ISMAIL BIN MOHAMED SAID,UMNO,21575
1151,2013,P87,SHAHRIL AZMAN BIN ABD HALIM,PAS,15370
1152,2013,P88,NASRUDIN BIN HASSAN,PAS,28267
1153,2013,P88,SAIFUDDIN BIN ABDULLAH,UMNO,27197
1154,2013,P89,LIOW TIONG LAI,MCA,25947
1155,2013,P89,WONG TACK,DAP,25568
1156,2013,P90,ISMAIL SABRI BIN YAAKOB,UMNO,21669
1157,2013,P90,MOHD WALI BIN ALANG AHAMAD,IND,670
1158,2013,P90,ZAKARIA BIN ABDUL HAMID,PKR,19526
1159,2013,P91,JAMALUDIN BIN JARJIS,UMNO,30040
1160,2013,P91,NURIDAH BINTI MOHD SALLEH,PAS,14926
1161,2013,P92,ABDUL AZIZ BIN BARI,PKR,14743
1162,2013,P92,MOHD FASIAH BIN MOHD FAKEH,UMNO,16387
1163,2013,P93,MOHAMED SALLEH BIN M HUSIN,PAS,18296
1164,2013,P93,NORIAH BINTI KASNON,UMNO,18695
1165,2013,P94,KHALID BIN JAAFAR,PKR,33989
1166,2013,P94,P.KAMALANATHAN A/L P.PANCHANATHAN,MIC,37403
1167,2013,P94,RADZALI BIN MOKHTAR,IND,1105
1168,2013,P94,SANTHARA KUMAR A/L RAMANAIDU,IND,999
1169,2013,P95,MASRUN BIN TAMSI,IND,340
1170,2013,P95,NOH BIN OMAR,UMNO,20548
1171,2013,P95,MOHAMAD RASHDI BIN DERAMAN,PAS,16154
1172,2013,P96,DZULKEFLY BIN AHMAD,PAS,27040
1173,2013,P96,IRMOHIZAM BIN IBRAHIM,UMNO,27500
1174,2013,P97,WILLIAM LEONG JEE KEEN,PKR,52287
1175,2013,P97,LIM SIANG CHAI,MCA,34441
1176,2013,P97,HAJI MOHD HAZIZI BIN AB. RAHMAN,BERJASA,4152
1177,2013,P98,MOHAMED AZMIN BIN ALI,PKR,54827
1178,2013,P98,SAID NAZAR BIN ABU BAKER,IND,474
1179,2013,P98,RAMAN BIN ISMAIL,UMNO,50093
1180,2013,P99,ZURAIDA BINTI KAMARUDDIN,PKR,41969
1181,2013,P99,ROZAIDAH BINTI TALIB,UMNO,28691
1182,2013,P100,MOHD RAFIZI BIN RAMLI,PKR,48183
1183,2013,P100,TAN YEW LENG,IND,2415
1184,2013,P100,LIM CHIN YEE,MCA,21454
1185,2013,P101,ADZHALIZA BINTI MOHD NOR,UMNO,46860
1186,2013,P101,CHE ROSLI BIN CHE MAT,PAS,64127
1187,2013,P102,YAP PIAN HON,MCA,37032
1188,2013,P102,ONG KIAN MING,DAP,79238
1189,2013,P103,GOBIND SINGH DEO,DAP,62938
1190,2013,P103,A. KOHILAN PILLAY A/L G. APPU,GERAKAN,30136
1191,2013,P104,LOH SENG KOK,MCA,27963
1192,2013,P104,TOH SIN WAH,IND,363
1193,2013,P104,WONG CHEN,PKR,56790
1194,2013,P105,IBRAHIM BIN KHATIB,IND,1447
1195,2013,P105,HEE LOY SIAN,PKR,41062
1196,2013,P105,SHEAH KOK FAH,MCA,21846
1197,2013,P106,CHEW HOONG LING,MCA,12735
1198,2013,P106,PUA KIAM WEE,DAP,57407
1199,2013,P107,SIVARASA A/L K. RASIAH,PKR,66268
1200,2013,P107,PAKAS RAO A/L APPLANAIDOO,MIC,39549
1201,2013,P107,EDROS BIN ABDULLAH,IND,218
1202,2013,P107,MOHAMAD BIN ISMAIL,BERJASA,4454
1203,2013,P107,NAZARUDDIN BIN MOHAMED FERDOOS,IND,460
1204,2013,P108,KHALID BIN ABD SAMAD,PAS,49009
1205,2013,P109,SAKTHIVEL A/L ALAGAPPAN,MIC,46059
1206,2013,P109,NORHAMZAH BIN SURATMAN,IND,1067
1207,2013,P109,PALAYA A/L RENGAIAH,IND,231
1208,2013,P109,MOHD PATHAN BIN HUSSIN,BERJASA,6289
1209,2013,P109,G MANIVANNAN A/L GOWINDASAMY,PKR,69849
1210,2013,P109,MOHD NAZRI BIN ABDUL AZIZ,IND,835
1211,2013,P110,TEH KIM POO,MCA,29034
1212,2013,P110,CHARLES ANTHONY A/L R. SANTIAGO,DAP,53719
1213,2013,P111,UTHAYAKUMAR A/L PONNUSAMY,IND,2364
1214,2013,P111,MURUGESAN A/L SINNANDAVAR,MIC,29711
1215,2013,P111,AZMAN BIN IDRUS,IND,280
